X,Y,Z,energy,LJ,Coulomb_ewald,Coulomb_real,Coulomb_fourier,alpha,tail_correction,k_vec
0.4080438400903914,0.2877579388453729,0.24534292196586313,5482075.81350552,5483093.98950707,-1018.17600155,-11371.45161152,10353.27560998,0.341429,-14088.48938481,13;14;15
0.5030749153293969,0.3879585854426623,0.7360287658975893,4146915.56696706,4167736.82916509,-20821.26219803,-30271.0943688,9449.83217077,0.341429,-14088.48938481,13;14;15
0.5981059905684024,0.48815923203995176,1.2267146098293158,1975340.7592545,2022946.82756667,-47606.06831218,-55761.20353022,8155.13521804,0.341429,-14088.48938481,13;14;15
0.6931370658074079,0.5883598786372412,1.717400453761042,323683.49717632,365554.43304572,-41870.9358694,-48415.30988778,6544.37401838,0.341429,-14088.48938481,13;14;15
0.7881681410464133,0.6885605252345306,2.208086297692768,21744.95521808,44144.59506081,-22399.63984273,-27112.37815143,4712.7383087,0.341429,-14088.48938481,13;14;15
0.8831992162854188,0.78876117183182,2.6987721416244943,583934.82281191,599099.85894659,-15165.03613468,-17945.88695225,2780.85081757,0.341429,-14088.48938481,13;14;15
0.9782302915244242,0.8889618184291094,3.18945798555622,156708.16872404,171495.97719177,-14787.80846773,-15679.55950474,891.75103701,0.341429,-14088.48938481,13;14;15
1.0732613667634296,0.9891624650263988,3.6801438294879465,78354.66390328,92993.16836265,-14638.50445938,-13837.50188976,-801.00256962,0.341429,-14088.48938481,13;14;15
1.1682924420024352,1.0893631116236884,4.170829673419673,11319.32737336,24543.75504416,-13224.4276708,-11074.55259712,-2149.87507368,0.341429,-14088.48938481,13;14;15
1.2633235172414408,1.1895637582209777,4.6615155173514,-8653.95518,3124.37112093,-11778.32630092,-8749.10641935,-3029.21988157,0.341429,-14088.48938481,13;14;15
1.3583545924804463,1.2897644048182673,5.152201361283126,-10044.49894731,1591.19606336,-11635.69501067,-8288.13724301,-3347.55776766,0.341429,-14088.48938481,13;14;15
1.4533856677194517,1.3899650514155566,5.642887205214851,14220.67094082,28107.77523635,-13887.10429553,-10830.36245611,-3056.74183941,0.341429,-14088.48938481,13;14;15
1.548416742958457,1.490165698012846,6.133573049146578,504335.05330746,524203.64045902,-19868.58715156,-17708.69810251,-2159.88904905,0.341429,-14088.48938481,13;14;15
1.6434478181974626,1.5903663446101355,6.624258893078304,-23167.45779546,7635.50149016,-30802.95928563,-30084.71893631,-718.24034932,0.341429,-14088.48938481,13;14;15
1.738478893436468,1.6905669912074248,7.11494473701003,-24542.67357348,17356.63877869,-41899.31235218,-43045.58831431,1146.27596213,0.341429,-14088.48938481,13;14;15
