X,Y,Z,energy,LJ,Coulomb_ewald,Coulomb_real,Coulomb_fourier,alpha
0.0,0.0,0.0,410553.4391547,404024.35347282,6529.08568188,-4349.02987275,10878.11555463,0.341429
1.0453418276290602,1.1022071125701838,5.397544283248989,-10722.08442535,1269.18414174,-11991.26856709,-8694.84412808,-3296.42443901,0.341429
2.0906836552581205,2.2044142251403676,10.795088566497977,410553.43915444,404024.35347256,6529.08568187,-4349.02987276,10878.11555463,0.341429
4.691535,0.0,0.0,40791545.79678287,40807463.96878136,-15918.17199849,-15379.18096132,-538.99103717,0.341429
5.73687682762906,1.1022071125701838,5.397544283248989,41566735.33408018,41584890.57649996,-18155.24241978,-13694.61020466,-4460.63221512,0.341429
6.78221865525812,2.2044142251403676,10.795088566497977,40791545.79681443,40807463.96881292,-15918.17199849,-15379.18096132,-538.99103717,0.341429
9.38307,0.0,0.0,410553.4391547,404024.35347282,6529.08568188,-4349.02987275,10878.11555463,0.341429
10.428411827629061,1.1022071125701838,5.397544283248989,-10722.08442535,1269.18414174,-11991.26856709,-8694.84412808,-3296.42443901,0.341429
11.47375365525812,2.2044142251403676,10.795088566497977,410553.43915444,404024.35347256,6529.08568187,-4349.02987276,10878.11555463,0.341429
1.9977493827511075,4.753152310934563,0.0,-2003.99246171,-1118.42249299,-885.56996873,-2101.90089645,1216.33092772,0.341429
3.043091210380168,5.855359423504746,5.397544283248989,15047.97263511,38351.26111912,-23303.28848401,-19910.37291831,-3392.9155657,0.341429
4.088433038009228,6.95756653607493,10.795088566497977,-2003.99246171,-1118.42249299,-885.56996873,-2101.90089645,1216.33092772,0.341429
6.689284382751108,4.753152310934563,0.0,-6664.1481634,-1211.79135277,-5452.35681063,-4603.23301222,-849.12379842,0.341429
7.734626210380168,5.855359423504746,5.397544283248989,41053514.23237421,41068790.67123281,-15276.4388586,-11884.87481402,-3391.56404458,0.341429
8.779968038009228,6.95756653607493,10.795088566497977,-6664.1481634,-1211.79135277,-5452.35681063,-4603.23301222,-849.12379842,0.341429
11.380819382751108,4.753152310934563,0.0,-2003.99246171,-1118.42249299,-885.56996873,-2101.90089645,1216.33092772,0.341429
12.426161210380169,5.855359423504746,5.397544283248989,15047.97263511,38351.26111912,-23303.28848401,-19910.37291831,-3392.9155657,0.341429
13.471503038009228,6.95756653607493,10.795088566497977,-2003.99246171,-1118.42249299,-885.56996873,-2101.90089645,1216.33092772,0.341429
3.995498765502215,9.506304621869125,0.0,410553.4391546,404024.35347271,6529.08568189,-4349.02987275,10878.11555463,0.341429
5.040840593131275,10.60851173443931,5.397544283248989,-10722.08442535,1269.18414174,-11991.26856709,-8694.84412808,-3296.42443901,0.341429
6.086182420760336,11.710718847009492,10.795088566497977,410553.43915433,404024.35347245,6529.08568188,-4349.02987275,10878.11555463,0.341429
8.687033765502214,9.506304621869125,0.0,40791545.7967368,40807463.96873528,-15918.17199849,-15379.18096132,-538.99103717,0.341429
9.732375593131275,10.60851173443931,5.397544283248989,41566735.33405085,41584890.57647063,-18155.24241978,-13694.61020466,-4460.63221512,0.341429
10.777717420760334,11.710718847009492,10.795088566497977,40791545.79676839,40807463.96876688,-15918.17199849,-15379.18096132,-538.99103717,0.341429
13.378568765502216,9.506304621869125,0.0,410553.4391546,404024.35347271,6529.08568189,-4349.02987275,10878.11555463,0.341429
14.423910593131277,10.60851173443931,5.397544283248989,-10722.08442535,1269.18414174,-11991.26856709,-8694.84412808,-3296.42443901,0.341429
15.469252420760336,11.710718847009492,10.795088566497977,410553.43915434,404024.35347246,6529.08568188,-4349.02987275,10878.11555463,0.341429
