X,Y,Z,energy,LJ,Coulomb_ewald,Coulomb_real,Coulomb_fourier,alpha,tail_correction,k_vec
0.2517253333333333,0.25172333333333335,0.2576648,36909.2629715,44036.87046539,-7127.60749389,-6115.17620011,-1012.43129378,0.341429,-21026.51913251,13;13;11
0.25172533333333336,0.2517233333333334,0.7729944,32699.22691194,37924.81016515,-5225.58325321,-4184.58914804,-1040.99410517,0.341429,-21026.51913251,13;13;11
0.25172533333333336,0.2517233333333334,1.2883240000000002,23266.9306645,26764.45685907,-3497.52619458,-2434.47641029,-1063.04978429,0.341429,-21026.51913251,13;13;11
0.2517253333333334,0.25172333333333347,1.8036535999999999,11338.00093145,14168.41427832,-2830.41334687,-1752.26800434,-1078.14534254,0.341429,-21026.51913251,13;13;11
0.25172533333333347,0.2517233333333335,2.3189832,6990.34784447,9952.95130326,-2962.60345879,-1877.67415252,-1084.92930627,0.341429,-21026.51913251,13;13;11
0.25172533333333347,0.2517233333333335,2.8343128,12621.79449634,15869.98250171,-3248.18800536,-2165.61997217,-1082.56803319,0.341429,-21026.51913251,13;13;11
0.2517253333333335,0.2517233333333336,3.3496424000000005,14191.35877581,17524.52578972,-3333.16701391,-2261.89106679,-1071.27594712,0.341429,-21026.51913251,13;13;11
0.2517253333333335,0.2517233333333336,3.8649720000000007,5667.7946503,8898.93765495,-3231.14300464,-2179.57506374,-1051.5679409,0.341429,-21026.51913251,13;13;11
0.2517253333333336,0.25172333333333363,4.3803016,-762.75711214,2377.23624735,-3139.99335949,-2116.54631328,-1023.44704621,0.341429,-21026.51913251,13;13;11
0.2517253333333336,0.25172333333333363,4.8956312,-3480.16041675,-272.98208672,-3207.17833003,-2220.2839306,-986.89439943,0.341429,-21026.51913251,13;13;11
0.25172533333333363,0.2517233333333337,5.410960800000001,-4553.11783956,-1173.37846277,-3379.73937679,-2436.20309007,-943.53628672,0.341429,-21026.51913251,13;13;11
0.2517253333333337,0.25172333333333374,5.926290400000001,-4426.16947514,-924.79276644,-3501.3767087,-2603.60730293,-897.76940577,0.341429,-21026.51913251,13;13;11
0.2517253333333337,0.25172333333333374,6.44162,-4011.35200306,-503.36927986,-3507.9827232,-2652.29216768,-855.69055552,0.341429,-21026.51913251,13;13;11
0.25172533333333375,0.2517233333333338,6.956949600000001,-4320.68687394,-801.60679736,-3519.08007658,-2696.99514303,-822.08493354,0.341429,-21026.51913251,13;13;11
0.25172533333333375,0.2517233333333338,7.472279200000001,-5175.58380112,-1414.4414346,-3761.14236652,-2963.36379759,-797.77856893,0.341429,-21026.51913251,13;13;11
0.2517253333333338,0.25172333333333385,7.9876088,-5977.98915633,-1618.51354843,-4359.47560789,-3579.66623388,-779.80937402,0.341429,-21026.51913251,13;13;11
