X,Y,Z,energy,LJ,Coulomb_ewald,Coulomb_real,Coulomb_fourier,alpha
0.0,0.0,0.0,inf,0.0,inf,inf,23819.69022589,0.341429
-0.16784393782666635,0.3227222324378744,0.6810448294027183,80076.68223932,0.0,80076.68223932,56797.37849448,23279.30374484,0.341429
-0.3356878756533327,0.6454444648757488,1.3620896588054365,2154454.81850765,2114416.2071525,40038.61135516,18253.22384376,21785.38751139,0.341429
-0.503531813479999,0.9681666973136233,2.0431344882081546,40653.91650499,13961.01998071,26692.89652427,7030.19908529,19662.69743898,0.341429
-0.6713757513066654,1.2908889297514976,2.724179317610873,20088.04475446,67.65816358,20020.38659088,2720.52125226,17299.86533862,0.341429
-0.8392196891333317,1.613611162189372,3.405224147013591,15933.76173145,-83.48961077,16017.25134222,997.96221699,15019.28912523,0.341429
-1.007063626959998,1.9363333946272465,4.086268976416309,13312.9097356,-35.97101393,13348.88074953,337.58340717,13011.29734236,0.341429
-1.1749075647866645,2.2590556270651208,4.767313805819028,11443.29917485,0.0,11443.29917485,103.67069411,11339.62848074,0.341429
-1.3427515026133308,2.581777859502995,5.448358635221746,10014.51883036,0.0,10014.51883036,28.61788682,9985.90094354,0.341429
-1.510595440439997,2.9045000919408697,6.129403464624464,8903.65767502,0.0,8903.65767502,7.05346153,8896.60421349,0.341429
-1.6784393782666633,3.227222324378744,6.810448294027182,8015.38656119,0.0,8015.38656119,1.54475901,8013.84180218,0.341429
-1.8462833160933299,3.549944556816619,7.491493123429901,7289.04153208,0.0,7289.04153208,0.29954537,7288.74198671,0.341429
-2.014127253919996,3.872666789254493,8.172537952832618,6684.18002109,0.0,6684.18002109,0.05128897,6684.12873211,0.341429
-2.1819711917466624,4.1953890216923675,8.853582782235337,6172.80339524,0.0,6172.80339524,0.00773783,6172.79565741,0.341429
-2.349815129573329,4.5181112541302415,9.534627611638056,5734.91268891,0.0,5734.91268891,0.00102686,5734.91166205,0.341429
-2.5176590673999955,4.840833486568116,10.215672441040775,5355.84206641,0.0,5355.84206641,0.0001197,5355.8419467,0.341429
-2.6855030052266615,5.16355571900599,10.896717270443492,5024.59219973,0.0,5024.59219973,0.0,5024.59219973,0.341429
-2.8533469430533276,5.486277951443864,11.57776209984621,4732.75194808,0.0,4732.75194808,0.0,4732.75194808,0.341429
-3.021190880879994,5.809000183881739,12.258806929248928,4473.7793218,0.0,4473.7793218,0.0,4473.7793218,0.341429
-3.1890348187066606,6.131722416319614,12.939851758651647,4242.50968576,0.0,4242.50968576,0.0,4242.50968576,0.341429
0.21797210526315788,0.0,0.0,283648.22585711,0.0,283648.22585711,259872.43261362,23775.79324349,0.341429
0.05012816743649154,0.3227222324378744,0.6810448294027183,81857.68083225,0.0,81857.68083225,58555.57695469,23302.10387756,0.341429
-0.1177157703901748,0.6454444648757488,1.3620896588054365,2771147.56252053,2730252.5495786,40895.01294193,19031.74849843,21863.2644435,0.341429
-0.28555970821684107,0.9681666973136233,2.0431344882081546,44396.62865523,17265.33664394,27131.29201129,7357.10759472,19774.18441657,0.341429
-0.45340364604350747,1.2908889297514976,2.724179317610873,20401.84050115,119.13264914,20282.70785202,2860.33683926,17422.37101275,0.341429
-0.6212475838701738,1.613611162189372,3.405224147013591,16104.53521808,-86.50894539,16191.04416347,1055.15020164,15135.89396183,0.341429
-0.78909152169684,1.9363333946272465,4.086268976416309,13434.4853202,-37.77166091,13472.25698112,359.17401619,13113.08296493,0.341429
-0.9569354595235066,2.2590556270651208,4.767313805819028,11535.32849804,0.0,11535.32849804,111.04698128,11424.28151677,0.341429
-1.124779397350173,2.581777859502995,5.448358635221746,10085.75860398,0.0,10085.75860398,30.87184826,10054.88675572,0.341429
-1.2926233351768392,2.9045000919408697,6.129403464624464,8960.41319165,0.0,8960.41319165,7.66499049,8952.74820115,0.341429
-1.4604672730035055,3.227222324378744,6.810448294027182,8061.65148792,0.0,8061.65148792,1.69136891,8059.96011901,0.341429
-1.628311210830172,3.549944556816619,7.491493123429901,7327.46655811,0.0,7327.46655811,0.33050201,7327.1360561,0.341429
-1.7961551486568381,3.872666789254493,8.172537952832618,6716.59282837,0.0,6716.59282837,0.05703238,6716.53579599,0.341429
-1.9639990864835046,4.1953890216923675,8.853582782235337,6200.50471488,0.0,6200.50471488,0.00867251,6200.49604237,0.341429
-2.131843024310171,4.5181112541302415,9.534627611638056,5758.85327241,0.0,5758.85327241,0.00116011,5758.8521123,0.341429
-2.2996869621368377,4.840833486568116,10.215672441040775,5376.73289248,0.0,5376.73289248,0.00013633,5376.73275616,0.341429
-2.4675308999635037,5.16355571900599,10.896717270443492,5042.97553837,0.0,5042.97553837,0.0,5042.97553837,0.341429
-2.63537483779017,5.486277951443864,11.57776209984621,4749.04858965,0.0,4749.04858965,0.0,4749.04858965,0.341429
-2.8032187756168363,5.809000183881739,12.258806929248928,4488.3207805,0.0,4488.3207805,0.0,4488.3207805,0.341429
-2.971062713443503,6.131722416319614,12.939851758651647,4255.56069222,0.0,4255.56069222,0.0,4255.56069222,0.341429
0.43594421052631577,0.0,0.0,141824.1344732,0.0,141824.1344732,118179.16109078,23644.97338242,0.341429
0.2681002726996494,0.3227222324378744,0.6810448294027183,77293.4236382,0.0,77293.4236382,54052.86344701,23240.5601912,0.341429
0.10025633487298308,0.6454444648757488,1.3620896588054365,2798782.62283099,2757853.52379559,40929.0990354,19062.82530472,21866.27373068,0.341429
-0.06758760295368321,0.9681666973136233,2.0431344882081546,46353.61196062,19018.99822814,27334.61373248,7510.12979688,19824.4839356,0.341429
-0.2354315407803496,1.2908889297514976,2.724179317610873,20605.8165636,157.27377568,20448.54278792,2950.237855,17498.30493292,0.341429
-0.4032754786070159,1.613611162189372,3.405224147013591,16227.81860797,-88.57609027,16316.39469823,1097.45692282,15218.93777542,0.341429
-0.5711194164336821,1.9363333946272465,4.086268976416309,13528.79329049,-39.20801648,13568.00130697,376.50920849,13191.49209848,0.341429
-0.7389633542603486,2.2590556270651208,4.767313805819028,11610.14839206,0.0,11610.14839206,117.30641595,11492.84197612,0.341429
-0.9068072920870149,2.581777859502995,5.448358635221746,10145.57028581,0.0,10145.57028581,32.8646177,10112.7056681,0.341429
-1.0746512299136812,2.9045000919408697,6.129403464624464,9009.2000908,0.0,9009.2000908,8.22346049,9000.97663031,0.341429
-1.2424951677403475,3.227222324378744,6.810448294027182,8102.14261869,0.0,8102.14261869,1.82889727,8100.31372142,0.341429
-1.410339105567014,3.549944556816619,7.491493123429901,7361.57657268,0.0,7361.57657268,0.36021632,7361.21635636,0.341429
-1.57818304339368,3.872666789254493,8.172537952832618,6745.69763184,0.0,6745.69763184,0.06265805,6745.63497379,0.341429
-1.7460269812203466,4.1953890216923675,8.853582782235337,6225.61537532,0.0,6225.61537532,0.00960486,6225.60577045,0.341429
-1.9138709190470131,4.5181112541302415,9.534627611638056,5780.72792822,0.0,5780.72792822,0.00129526,5780.72663295,0.341429
-2.08171485687368,4.840833486568116,10.215672441040775,5395.95042402,0.0,5395.95042402,0.00015345,5395.95027057,0.341429
-2.249558794700346,5.16355571900599,10.896717270443492,5059.98518322,0.0,5059.98518322,0.0,5059.98518322,0.341429
-2.417402732527012,5.486277951443864,11.57776209984621,4764.20409183,0.0,4764.20409183,0.0,4764.20409183,0.341429
-2.5852466703536785,5.809000183881739,12.258806929248928,4501.90434929,0.0,4501.90434929,0.0,4501.90434929,0.341429
-2.753090608180345,6.131722416319614,12.939851758651647,4267.80014743,0.0,4267.80014743,0.0,4267.80014743,0.341429
0.6539163157894736,0.0,0.0,94549.46196675,0.0,94549.46196675,71119.65223673,23429.80973002,0.341429
0.4860723779628073,0.3227222324378744,0.6810448294027183,68942.86505027,0.0,68942.86505027,45846.98145735,23095.88359292,0.341429
