X,Y,Z,energy,LJ,Coulomb_ewald,Coulomb_real,Coulomb_fourier,alpha
0.0,0.0,0.0,-12703.06869955,-27.71157049,-12675.35712906,-601.67459091,-12073.68253815,0.341429
-0.16784393782666635,0.3227222324378744,0.6810448294027183,-10157.00738656,-16.0233447,-10140.98404185,-307.15078066,-9833.83326119,0.341429
-0.3356878756533327,0.6454444648757488,1.3620896588054365,-7827.84725726,-8.81821586,-7819.02904139,-135.007514,-7684.0215274,0.341429
-0.503531813479999,0.9681666973136233,2.0431344882081546,-5866.94204784,-4.81667974,-5862.1253681,-51.59555557,-5810.52981252,0.341429
-0.6713757513066654,1.2908889297514976,2.724179317610873,-4345.38772316,-2.67254813,-4342.71517503,-17.23926178,-4325.47591325,0.341429
-0.8392196891333317,1.613611162189372,3.405224147013591,-3301.04455082,-1.52286636,-3299.52168446,-5.05004317,-3294.47164129,0.341429
-1.007063626959998,1.9363333946272465,4.086268976416309,-2764.90450223,-0.89478185,-2764.00972039,-1.29854353,-2762.71117686,0.341429
-1.1749075647866645,2.2590556270651208,4.767313805819028,-2769.87516667,-0.54238469,-2769.33278197,-0.29317304,-2769.03960893,0.341429
-1.3427515026133308,2.581777859502995,5.448358635221746,-3353.47127822,-1.63247568,-3351.83880254,-5.94143957,-3345.89736297,0.341429
-1.510595440439997,2.9045000919408697,6.129403464624464,-4529.15897443,-2.87550903,-4526.2834654,-19.94925539,-4506.33421001,0.341429
-1.6784393782666633,3.227222324378744,6.810448294027182,-6283.87835613,-5.19690523,-6278.6814509,-58.71170155,-6219.96974935,0.341429
-1.8462833160933299,3.549944556816619,7.491493123429901,-8542.96746116,-9.52059613,-8533.44686503,-150.98999686,-8382.45686817,0.341429
-2.014127253919996,3.872666789254493,8.172537952832618,-11144.61958555,-17.23935821,-11127.38022734,-337.28690445,-10790.09332289,0.341429
-2.1819711917466624,4.1953890216923675,8.853582782235337,-13816.2797757,-29.5085395,-13786.7712362,-647.69301531,-13139.07822089,0.341429
